"exam_year","varname_longi","non_missing_per","Variable.Name","Variable.Label","Num.non.missing.participants","categorical_or_continuous","Datadoc","var_group"
15,"CER",0.00625610948191593,"F08CER","CERVICAL CANCER?",32,0,"f1f08","medical_history"
20,"CER",0.0258064516129032,"G08CER","CERVICAL CANCER?",132,0,"g3f08","medical_history"
25,"CER",0.00312805474095797,"H08CER","CERVICAL CANCER?",16,0,"h3f08","medical_history"
30,"CER",0.00488663017982799,"I08CER","CERVICAL CANCER?",25,0,"i1f08","medical_history"
5,"CHNOW",0.848390243902439,"C08CHNOW","CURRENTLY TAKING CHOLESTEROL MEDICATION",4348,0,"c1f08","medical_history"
7,"CHNOW",0.797653958944281,"D08CHNOW","CURRENTLY TAKING MEDS TO LOWER CHOLEST",4080,0,"d1f08a","medical_history"
10,"CHNOW",0.76930596285435,"E08CHNOW","CURRENTLY TAKING MEDS TO LOWER CHOLEST",3935,0,"e1f08","medical_history"
15,"CHNOW",0.717693059628543,"F08CHNOW","CURRENTLY TAKING MEDS TO LOWER CHOLEST",3671,0,"f1f08","medical_history"
20,"CHNOW",0.6930596285435,"G08CHNOW","CURRENTLY TAKING MEDS TO LOWER CHOLEST",3545,0,"g3f08","medical_history"
25,"CHNOW",0.680938416422287,"H08CHNOW","CURRENTLY TAKING MEDS TO LOWER CHOLEST",3483,0,"h3f08","medical_history"
30,"CHNOW",0.655003909304144,"I08CHNOW","CURRENTLY TAKING MEDS TO LOWER CHOLEST",3351,0,"i1f08","medical_history"
15,"DEP",0.716911045943304,"F08DEP","DEPRESSION?",3667,0,"f1f08","medical_history"
20,"DEP",0.693450635386119,"G08DEP","DEPRESSION?",3547,0,"g3f08","medical_history"
25,"DEP",0.680938416422287,"H08DEP","DEPRESSION?",3483,0,"h3f08","medical_history"
30,"DEP",0.655590304925723,"I08DEP","DEPRESSION?",3354,0,"i1f08","medical_history"
0,"DIAB",0.999218139171227,"A08DIAB","DIABETES",5112,0,"a4f08","medical_history"
2,"DIAB",0.896383186705767,"B08DIAB","DIABETES",4585,0,"b2f08","medical_history"
5,"DIAB",0.848195121951219,"C08DIAB","DIABETES",4347,0,"c1f08","medical_history"
7,"DIAB",0.797653958944281,"D08DIAB","DIABETES?",4080,0,"d1f08a","medical_history"
10,"DIAB",0.76989247311828,"E08DIAB","DIABETES?",3938,0,"e1f08","medical_history"
15,"DIAB",0.716715542521994,"F08DIAB","DIABETES?",3666,0,"f1f08","medical_history"
20,"DIAB",0.693646138807429,"G08DIAB","DIABETES?",3548,0,"g3f08","medical_history"
25,"DIAB",0.681329423264907,"H08DIAB","DIABETES?",3485,0,"h3f08","medical_history"
30,"DIAB",0.65539483971853,"I08DIAB","DIABETES?",3353,0,"i1f08","medical_history"
25,"DIBNP",0.079960899315738,"H08DIBNP","EVER BEEN DIAGNOSED WITH DIABETIC NEUROPATHY?",409,0,"h3f08","medical_history"
30,"DIBNP",0.0928459734167318,"I08DIBNP","EVER BEEN DIAGNOSED WITH DIABETIC NEUROPATHY?",475,0,"i1f08","medical_history"
7,"DIG",0.797262952101662,"D08DIG","DIGESTIVE DISEASE",4078,0,"d1f08a","medical_history"
10,"DIG",0.76930596285435,"E08DIG","DIGESTIVE DISEASE?",3935,0,"e1f08","medical_history"
15,"DIG",0.716911045943304,"F08DIG","DIGESTIVE DISEASE?",3667,0,"f1f08","medical_history"
20,"DIG",0.69286412512219,"G08DIG","DIGESTIVE DISEASE?",3544,0,"g3f08","medical_history"
25,"DIG",0.681133919843597,"H08DIG","DIGESTIVE DISEASE?",3484,0,"h3f08","medical_history"
30,"DIG",0.65539483971853,"I08DIG","DIGESTIVE DISEASE?",3353,0,"i1f08","medical_history"
7,"EMPH",0.797262952101662,"D08EMPH","EMPHYSEMA",4078,0,"d1f08a","medical_history"
10,"EMPH",0.76930596285435,"E08EMPH","EMPHYSEMA?",3935,0,"e1f08","medical_history"
15,"EMPH",0.716911045943304,"F08EMPH","EMPHYSEMA?",3667,0,"f1f08","medical_history"
20,"EMPH",0.69266862170088,"G08EMPH","EMPHYSEMA?",3543,0,"g3f08","medical_history"
25,"EMPH",0.680938416422287,"H08EMPH","EMPHYSEMA?",3483,0,"h3f08","medical_history"
30,"EMPH",0.655590304925723,"I08EMPH","EMPHYSEMA?",3354,0,"i1f08","medical_history"
7,"EPI",0.797067448680352,"D08EPI","EPILEPSY",4077,0,"d1f08a","medical_history"
10,"EPI",0.76911045943304,"E08EPI","EPILEPSY?",3934,0,"e1f08","medical_history"
15,"EPI",0.716911045943304,"F08EPI","EPILEPSY?",3667,0,"f1f08","medical_history"
20,"EPI",0.69188660801564,"G08EPI","EPILEPSY?",3539,0,"g3f08","medical_history"
25,"EPI",0.680938416422287,"H08EPI","EPILEPSY?",3483,0,"h3f08","medical_history"
30,"EPI",0.65539483971853,"I08EPI","EPILEPSY?",3353,0,"i1f08","medical_history"
0,"GALL",0.999413604378421,"A08GALL","GALLSTONES OR GALL BLADDER DISEASE",5113,0,"a4f08","medical_history"
2,"GALL",0.895992179863148,"B08GALL","GALLSTONES OR GALL BLADDER DISEASE",4583,0,"b2f08","medical_history"
5,"GALL",0.848390243902439,"C08GALL","GALLSTONES OR GALLBLADDER DISEASE",4348,0,"c1f08","medical_history"
7,"GALL",0.797653958944281,"D08GALL","GALLSTONES OR GALLBLADDER DISEASE",4080,0,"d1f08a","medical_history"
10,"GALL",0.76969696969697,"E08GALL","GALLSTONES OR GALLBLADDER DISEASE?",3937,0,"e1f08","medical_history"
15,"GALL",0.716715542521994,"F08GALL","GALLSTONES OR GALLBLADDER DISEASE?",3666,0,"f1f08","medical_history"
20,"GALL",0.693450635386119,"G08GALL","GALLSTONES OR GALLBLADDER DISEASE?",3547,0,"g3f08","medical_history"
25,"GALL",0.681133919843597,"H08GALL","GALLSTONES OR GALLBLADDER DISEASE?",3484,0,"h3f08","medical_history"
30,"GALL",0.655590304925723,"I08GALL","GALLSTONES OR GALLBLADDER DISEASE?",3354,0,"i1f08","medical_history"
7,"GOUT",0.797262952101662,"D08GOUT","GOUT",4078,0,"d1f08a","medical_history"
10,"GOUT",0.76930596285435,"E08GOUT","GOUT?",3935,0,"e1f08","medical_history"
15,"GOUT",0.716911045943304,"F08GOUT","GOUT?",3667,0,"f1f08","medical_history"
20,"GOUT",0.69266862170088,"G08GOUT","GOUT?",3543,0,"g3f08","medical_history"
25,"GOUT",0.681133919843597,"H08GOUT","GOUT?",3484,0,"h3f08","medical_history"
30,"GOUT",0.65539483971853,"I08GOUT","GOUT?",3353,0,"i1f08","medical_history"
0,"HEART",0.999609069585614,"A08HEART","HEART PROBLEM",5114,0,"a4f08","medical_history"
2,"HEART",0.895992179863148,"B08HEART","HEART PROBLEM",4583,0,"b2f08","medical_history"
5,"HEART",0.848195121951219,"C08HEART","HEART PROBLEM",4347,0,"c1f08","medical_history"
7,"HEART",0.797262952101662,"D08HEART","HEART PROBLEM?",4078,0,"d1f08a","medical_history"
10,"HEART",0.76871945259042,"E08HEART","HEART PROBLEM?",3932,0,"e1f08","medical_history"
15,"HEART",0.716520039100684,"F08HEART","HEART PROBLEM?",3665,0,"f1f08","medical_history"
20,"HEART",0.688758553274682,"G08HEART","HEART PROBLEM?",3523,0,"g3f08","medical_history"
25,"HEART",0.681133919843597,"H08HEART","HEART PROBLEM?",3484,0,"h3f08","medical_history"
30,"HEART",0.65539483971853,"I08HEART","HEART PROBLEM?",3353,0,"i1f08","medical_history"
5,"HEP",0.848195121951219,"C08HEP","HEPATITIS",4347,0,"c1f08","medical_history"
7,"HEP",0.0136852394916911,"D08HEP","HEPATITIS?",70,0,"d1f08a","medical_history"
10,"HEP",0.0150537634408602,"E08HEP","HEPATITIS?",77,0,"e1f08","medical_history"
15,"HEP",0.0144672531769306,"F08HEP","HEPATITIS?",74,0,"f1f08","medical_history"
20,"HEP",0.0127077223851417,"G08HEP","HEPATITIS?",65,0,"g3f08","medical_history"
25,"HEP",0.0119257086999022,"H08HEP","HEPATITIS?",61,0,"h3f08","medical_history"
30,"HEP",0.016419077404222,"I08HEP","HEPATITIS?",84,0,"i1f08","medical_history"
15,"HIV",0.717106549364614,"F08HIV","HIV?",3668,0,"f1f08","medical_history"
20,"HIV",0.693450635386119,"G08HIV","HIV?",3547,0,"g3f08","medical_history"
25,"HIV",0.681133919843597,"H08HIV","HIV?",3484,0,"h3f08","medical_history"
30,"HIV",0.655003909304144,"I08HIV","HIV?",3351,0,"i1f08","medical_history"
7,"HOT",0.0172043010752688,"D08HOT","HYPOTHYROIDISM",88,0,"d1f08a","medical_history"
10,"HOT",0.0271749755620723,"E08HOT","HYPOTHYROIDISM?",139,0,"e1f08","medical_history"
15,"HOT",0.0211143695014663,"F08HOT","HYPOTHYROIDISM?",108,0,"f1f08","medical_history"
20,"HOT",0.0406647116324536,"G08HOT","HYPOTHYROIDISM?",208,0,"g3f08","medical_history"
25,"HOT",0.0379276637341153,"H08HOT","HYPOTHYROIDISM?",194,0,"h3f08","medical_history"
30,"HOT",0.0463252541047693,"I08HOT","HYPOTHYROIDISM?",237,0,"i1f08","medical_history"
5,"HRTAK",0.0679024390243902,"C08HRTAK","HEART ATTACK",348,0,"c1f08","medical_history"
7,"HRTAK",0.078396871945259,"D08HRTAK","HEART ATTACK?",401,0,"d1f08a","medical_history"
10,"HRTAK",0.0793743890518084,"E08HRTAK","HEART ATTACK?",406,0,"e1f08","medical_history"
15,"HRTAK",0.00293255131964809,"F08HRTAK","HEART ATTACK?",15,0,"f1f08","medical_history"
20,"HRTAK",0.0490713587487781,"G08HRTAK","HEART ATTACK?",251,0,"g3f08","medical_history"
25,"HRTAK",0.0093841642228739,"H08HRTAK","HEART ATTACK?",48,0,"h3f08","medical_history"
30,"HRTAK",0.0119233776387803,"I08HRTAK","HEART ATTACK?",61,0,"i1f08","medical_history"
0,"HYSTR",0.543979671618452,"A08HYSTR","HYSTERECTOMY",2783,0,"a4f08","medical_history"
2,"HYSTR",0.490909090909091,"B08HYSTR","HYSTERECTOMY",2511,0,"b2f08","medical_history"
7,"HYSTR",0.438709677419355,"D08HYSTR","HAD A HYSTERECTOMY?",2244,0,"d1f08a","medical_history"
10,"HYSTR",0.427174975562072,"E08HYSTR","HAD A HYSTERECTOMY?",2185,0,"e1f08","medical_history"
15,"HYSTR",0.40058651026393,"F08HYSTR","HAD A HYSTERECTOMY?",2049,0,"f1f08","medical_history"
20,"HYSTR",0.392961876832845,"G08HYSTR","HAD A HYSTERECTOMY?",2010,0,"g3f08","medical_history"
25,"HYSTR",0.386119257086999,"H08HYSTR","HAD A HYSTERECTOMY?",1975,0,"h3f08","medical_history"
30,"HYSTR",0.372947615324472,"I08HYSTR","HAD A HYSTERECTOMY?",1908,0,"i1f08","medical_history"
7,"HYT",0.0168132942326491,"D08HYT","HYPERTHYROIDISM",86,0,"d1f08a","medical_history"
10,"HYT",0.0269794721407625,"E08HYT","HYPERTHYROIDISM?",138,0,"e1f08","medical_history"
15,"HYT",0.00997067448680352,"F08HYT","HYPERTHYROIDISM?",51,0,"f1f08","medical_history"
20,"HYT",0.0346041055718475,"G08HYT","HYPERTHYROIDISM?",177,0,"g3f08","medical_history"
25,"HYT",0.0121212121212121,"H08HYT","HYPERTHYROIDISM?",62,0,"h3f08","medical_history"
30,"HYT",0.0172009382329945,"I08HYT","HYPERTHYROIDISM?",88,0,"i1f08","medical_history"
0,"KIDNY",0.999413604378421,"A08KIDNY","KIDNEY PROBLEM",5113,0,"a4f08","medical_history"
2,"KIDNY",0.896578690127077,"B08KIDNY","KIDNEY PROBLEM",4586,0,"b2f08","medical_history"
5,"KIDNY",0.848195121951219,"C08KIDNY","KIDNEY PROBLEM",4347,0,"c1f08","medical_history"
7,"KIDNY",0.798044965786901,"D08KIDNY","KIDNEY PROBLEM?",4082,0,"d1f08a","medical_history"
10,"KIDNY",0.76969696969697,"E08KIDNY","KIDNEY PROBLEM?",3937,0,"e1f08","medical_history"
15,"KIDNY",0.716911045943304,"F08KIDNY","KIDNEY PROBLEM?",3667,0,"f1f08","medical_history"
20,"KIDNY",0.693255131964809,"G08KIDNY","KIDNEY PROBLEM?",3546,0,"g3f08","medical_history"
25,"KIDNY",0.681133919843597,"H08KIDNY","KIDNEY PROBLEM?",3484,0,"h3f08","medical_history"
30,"KIDNY",0.655199374511337,"I08KIDNY","KIDNEY PROBLEM?",3352,0,"i1f08","medical_history"
5,"KYS",0.0446829268292683,"C08KYS","KIDNEY STONE",229,0,"c1f08","medical_history"
7,"KYS",0.0467253176930596,"D08KYS","KIDNEY STONES?",239,0,"d1f08a","medical_history"
10,"KYS",0.0447702834799609,"E08KYS","KIDNEY STONES?",229,0,"e1f08","medical_history"
15,"KYS",0.0209188660801564,"F08KYS","KIDNEY STONES?",107,0,"f1f08","medical_history"
20,"KYS",0.0304985337243402,"G08KYS","KIDNEY STONES?",156,0,"g3f08","medical_history"
25,"KYS",0.0232649071358749,"H08KYS","KIDNEY STONES?",119,0,"h3f08","medical_history"
30,"KYS",0.0322517591868647,"I08KYS","KIDNEY STONES?",165,0,"i1f08","medical_history"
0,"LIVER",0.999609069585614,"A08LIVER","LIVER PROBLEM",5114,0,"a4f08","medical_history"
2,"LIVER",0.896578690127077,"B08LIVER","LIVER PROBLEM",4586,0,"b2f08","medical_history"
7,"LIVER",0.798044965786901,"D08LIVER","LIVER DISEASE",4082,0,"d1f08a","medical_history"
10,"LIVER",0.76989247311828,"E08LIVER","LIVER DISEASE?",3938,0,"e1f08","medical_history"
15,"LIVER",0.716715542521994,"F08LIVER","LIVER DISEASE?",3666,0,"f1f08","medical_history"
20,"LIVER",0.693450635386119,"G08LIVER","LIVER DISEASE?",3547,0,"g3f08","medical_history"
25,"LIVER",0.680742913000978,"H08LIVER","LIVER DISEASE?",3482,0,"h3f08","medical_history"
30,"LIVER",0.655590304925723,"I08LIVER","LIVER DISEASE?",3354,0,"i1f08","medical_history"
5,"LUN",0.0113170731707317,"C08LUN","LUNG CANCER",58,0,"c1f08","medical_history"
7,"LUN",0.0164222873900293,"D08LUN","LUNG CANCER?",84,0,"d1f08a","medical_history"
10,"LUN",0.0213098729227761,"E08LUN","LUNG CANCER?",109,0,"e1f08","medical_history"
15,"LUN",0.000195503421309873,"F08LUN","LUNG CANCER?",1,0,"f1f08","medical_history"
20,"LUN",0.0234604105571848,"G08LUN","LUNG CANCER?",120,0,"g3f08","medical_history"
25,"LUN",0.000195503421309873,"H08LUN","LUNG CANCER?",1,0,"h3f08","medical_history"
30,"LUN",0.000586395621579359,"I08LUN","LUNG CANCER?",3,0,"i1f08","medical_history"
7,"MIG",0.797849462365591,"D08MIG","MIGRAINE HEADACHES",4081,0,"d1f08a","medical_history"
10,"MIG",0.76989247311828,"E08MIG","MIGRAINE HEADACHES?",3938,0,"e1f08","medical_history"
15,"MIG",0.716911045943304,"F08MIG","MIGRAINE HEADACHES?",3667,0,"f1f08","medical_history"
20,"MIG",0.690713587487781,"G08MIG","MIGRAINE HEADACHES?",3533,0,"g3f08","medical_history"
25,"MIG",0.681133919843597,"H08MIG","MIGRAINE HEADACHES?",3484,0,"h3f08","medical_history"
30,"MIG",0.65539483971853,"I08MIG","MIGRAINE HEADACHES?",3353,0,"i1f08","medical_history"
7,"MS",0.797262952101662,"D08MS","MULTIPLE SCLEROSIS",4078,0,"d1f08a","medical_history"
10,"MS",0.76930596285435,"E08MS","MULTIPLE SCLEROSIS?",3935,0,"e1f08","medical_history"
15,"MS",0.716911045943304,"F08MS","MULTIPLE SCLEROSIS?",3667,0,"f1f08","medical_history"
20,"MS",0.693646138807429,"G08MS","MULTIPLE SCLEROSIS?",3548,0,"g3f08","medical_history"
25,"MS",0.681133919843597,"H08MS","MULTIPLE SCLEROSIS?",3484,0,"h3f08","medical_history"
30,"MS",0.65539483971853,"I08MS","MULTIPLE SCLEROSIS?",3353,0,"i1f08","medical_history"
5,"MVP",0.0679024390243902,"C08MVP","MITRAL VALVE PROLAPSE",348,0,"c1f08","medical_history"
7,"MVP",0.078396871945259,"D08MVP","MITRAL VALVE PROLAPSE?",401,0,"d1f08a","medical_history"
10,"MVP",0.0793743890518084,"E08MVP","MITRAL VALVE PROLAPSE?",406,0,"e1f08","medical_history"
15,"MVP",0.0326490713587488,"F08MVP","MITRAL VALVE PROLAPSE?",167,0,"f1f08","medical_history"
20,"MVP",0.0561094819159335,"G08MVP","MITRAL VALVE PROLAPSE?",287,0,"g3f08","medical_history"
25,"MVP",0.0271749755620723,"H08MVP","MITRAL VALVE PROLAPSE?",139,0,"h3f08","medical_history"
30,"MVP",0.0256059421422987,"I08MVP","MITRAL VALVE PROLAPSE?",131,0,"i1f08","medical_history"
5,"NEP",0.0448780487804878,"C08NEP","NEPHRITIS / GLOMERULONEPHRITIS",230,0,"c1f08","medical_history"
7,"NEP",0.0469208211143695,"D08NEP","NEPHRITIS OR GLOMERULONEPHRITIS?",240,0,"d1f08a","medical_history"
10,"NEP",0.0447702834799609,"E08NEP","NEPHRITIS OR GLOMERULONEPHRITIS?",229,0,"e1f08","medical_history"
15,"NEP",0.00195503421309873,"F08NEP","NEPHRITIS OR GLOMERULONEPHRITIS?",10,0,"f1f08","medical_history"
20,"NEP",0.0226783968719453,"G08NEP","NEPHRITIS OR GLOMERULONEPHRITIS?",116,0,"g3f08","medical_history"
25,"NEP",0.00273704789833822,"H08NEP","NEPHRITIS OR GLOMERULONEPHRITIS?",14,0,"h3f08","medical_history"
30,"NEP",0.00293197810789679,"I08NEP","NEPHRITIS OR GLOMERULONEPHRITIS?",15,0,"i1f08","medical_history"
25,"OSA",0.680938416422287,"H08OSA","OSTEOARTHRITIS?",3483,0,"h3f08","medical_history"
30,"OSA",0.655199374511337,"I08OSA","OSTEOARTHRITIS?",3352,0,"i1f08","medical_history"
10,"PNE",0.76930596285435,"E08PNE","PNEUMONIA?",3935,0,"e1f08","medical_history"
15,"PNE",0.716911045943304,"F08PNE","PNEUMONIA?",3667,0,"f1f08","medical_history"
20,"PNE",0.69208211143695,"G08PNE","PNEUMONIA?",3540,0,"g3f08","medical_history"
25,"PNE",0.681133919843597,"H08PNE","PNEUMONIA?",3484,0,"h3f08","medical_history"
30,"PNE",0.655590304925723,"I08PNE","PNEUMONIA?",3354,0,"i1f08","medical_history"
0,"PPREG",0.544566067240031,"A08PPREG","EVER BEEN PREGNANT",2786,0,"a4f08","medical_history"
2,"PPREG",0.491104594330401,"B08PPREG","EVER PREGNANT",2512,0,"b2f08","medical_history"
5,"PPREG",0.466536585365854,"C08PPREG","EVER BEEN PREGNANT",2391,0,"c1f08","medical_history"
7,"PPREG",0.438709677419355,"D08PPREG","EVER BEEN PREGNANT",2244,0,"d1f08a","medical_history"
10,"PPREG",0.426979472140762,"E08PPREG","EVER BEEN PREGNANT",2184,0,"e1f08","medical_history"
15,"PPREG",0.402932551319648,"F08PPREG","EVER BEEN PREGNANT",2061,0,"f1f08","medical_history"
20,"PPREG",0.393548387096774,"G08PPREG","EVER BEEN PREGNANT",2013,0,"g3f08","medical_history"
25,"PPREG",0.38514173998045,"H08PPREG","EVER BEEN PREGNANT",1970,0,"h3f08","medical_history"
30,"PPREG",0.371774824081314,"I08PPREG","EVER BEEN PREGNANT",1902,0,"i1f08","medical_history"
0,"PREG",0.544370602032838,"A08PREG","NOW PREGNANT",2785,0,"a4f08","medical_history"
2,"PREG",0.490713587487781,"B08PREG","NOW PREGNANT",2510,0,"b2f08","medical_history"
5,"PREG",0.319414634146341,"C08PREG","NOW PREGNANT",1637,0,"c1f08","medical_history"
7,"PREG",0.318670576735093,"D08PREG","CURRENTLY PREGNANT?",1630,0,"d1f08a","medical_history"
10,"PREG",0.332942326490714,"E08PREG","CURRENTLY PREGNANT?",1703,0,"e1f08","medical_history"
25,"PREG",0.321798631476051,"H08PREG","CURRENTLY PREGNANT?",1646,0,"h3f08","medical_history"
30,"PREG",0.308835027365129,"I08PREG","CURRENTLY PREGNANT?",1580,0,"i1f08","medical_history"
15,"PREG.x",0.330205278592375,"F08PREG.x","CURRENTLY PREGNANT?",1689,0,"f1f08","medical_history"
20,"PREG.x",0.326686217008798,"G08PREG.x","CURRENTLY PREGNANT?",1671,0,"g3f08","medical_history"
7,"PVD",0.797262952101662,"D08PVD","PERIPHERAL VASCULAR DISEASE",4078,0,"d1f08a","medical_history"
10,"PVD",0.76950146627566,"E08PVD","PERIPHERAL VASCULAR DISEASE?",3936,0,"e1f08","medical_history"
15,"PVD",0.716911045943304,"F08PVD","PERIPHERAL VASCULAR DISEASE?",3667,0,"f1f08","medical_history"
20,"PVD",0.693450635386119,"G08PVD","PERIPHERAL VASCULAR DISEASE?",3547,0,"g3f08","medical_history"
25,"PVD",0.681133919843597,"H08PVD","PERIPHERAL VASCULAR DISEASE?",3484,0,"h3f08","medical_history"
30,"PVD",0.65539483971853,"I08PVD","PERIPHERAL VASCULAR DISEASE?",3353,0,"i1f08","medical_history"
0,"CGTDY",0.431587177482408,"A09CGTDY","CIGARETTES, # SMOKED/DAY",2208,1,"a4f09tob","smoking"
2,"CGTDY",0.386510263929619,"B09CGTDY","CIGARETTES, # SMOKED/DAY",1977,1,"b2f09tob","smoking"
5,"CGTDY",0.242146341463415,"C09CGTDY","CIGARETTES, # SMOKED/DAY",1241,1,"c1f09tob","smoking"
7,"CGTDY",0.21564027370479,"D09CGTDY","CIGARETTES, # SMOKED/DAY",1103,1,"d1f9toba","smoking"
10,"CGTDY",0.196871945259042,"E09CGTDY","CIGARETTES, # SMOKED/DAY",1007,1,"e1f09tob","smoking"
15,"CGTDY",0.159335288367546,"F09CGTDY","CIGARETTES, # SMOKED/DAY",815,1,"f1f09tob","smoking"
20,"CGTDY",0.136070381231672,"G09CGTDY","CIGARETTES, # SMOKED/DAY",696,1,"g3f09tob","smoking"
25,"CGTDY",0.118084066471163,"H09CGTDY","CIGARETTES, # SMOKED/DAY",604,1,"h3f09tob","smoking"
30,"CGTDY",0.0906958561376075,"I09CGTDY","CIGARETTES, # SMOKED/DAY",464,1,"i1f09tob","smoking"
